Device_Type,Environment_Type,Weather_Condition,Distance,Transmission_Power,Frequency_Channel,Packet_Size,Battery_Level,RSSI,SNR,Delivery_Success,Energy_Cost,Bandwidth,Spreading_Factor,Coding_Rate,Data_Rate,Channel_Occupancy,Interference_Power,Interference_Duration,Interference_Density,Packet_Collision_Rate,Retransmission_Count,Packet_Loss_Rate,Latency,Jitter,Propagation_Delay,Gateway_Distance,Gateway_Signal_Quality,Gateway_Load,Battery_Voltage,Device_Temperature,Ambient_Temperature,Ambient_Humidity,Atmospheric_Pressure,Wind_Speed,Rainfall,Terrain_Obstruction,Node_Density,Network_Congestion,Channel_Switch_Count,Connection_Attempt_Count,Acknowledgment_Rate
Sensor_Node,Urban,Clear,21.705,28.48,868,165,88.0,-48.34,17.25,Success,3.317,250.0,11,4/8,39.197,32.69,-82.21,185.74,0.716,29.06,1,13.59,132.99,25.47,0.0725,23.22,83.03,30.16,4.047,49.87,19.08,54.91,996.43,5.42,1.8,0.046,199.63,43.75,5,1,100.0
Sensor_Node,Industrial,Clear,11.543,13.26,470,151,80.47,-50.91,17.81,Success,3.021,15.6,12,4/7,51.696,70.17,-95.12,438.43,0.167,14.56,0,8.72,80.59,29.61,0.0386,12.247,91.61,54.96,3.921,17.96,27.56,80.68,1013.39,19.69,3.61,0.047,290.09,66.0,4,7,94.17
Sensor_Node,Urban,Windy,24.692,18.56,868,103,62.26,-86.31,9.34,Failure,2.976,250.0,11,4/8,14.152,75.65,-78.12,382.5,0.084,5.26,3,3.43,126.52,27.93,0.0825,25.087,64.09,78.19,3.615,58.96,21.38,50.03,1007.8,9.09,6.52,0.741,227.97,66.83,7,6,92.9
Smart_Meter,Urban,Heavy_Rain,1.263,18.66,915,20,46.4,-35.0,20.0,Success,2.057,125.0,8,4/8,46.362,67.09,-77.44,107.32,0.651,26.31,1,10.48,52.49,23.25,0.0042,1.847,99.94,91.99,3.379,19.12,43.46,44.49,991.05,0.08,0.59,0.777,155.71,45.1,0,5,90.75
Industrial_Node,Urban,Foggy,3.531,17.09,868,43,94.21,-35.0,20.0,Success,2.074,250.0,9,4/7,49.034,15.63,-91.7,272.73,0.831,21.85,3,11.14,97.85,16.73,0.0118,3.939,98.73,51.46,4.073,58.31,19.38,90.39,994.85,2.78,2.93,0.148,278.86,31.95,8,2,100.0
Smart_Meter,Urban,Rain,20.011,10.18,433,61,36.61,-68.48,14.99,Failure,1.655,15.6,9,4/5,44.8,39.03,-71.6,56.46,0.194,7.12,2,4.74,103.33,24.8,0.0668,21.272,86.2,53.7,3.302,36.65,12.59,30.07,1012.64,7.06,3.66,0.19,456.81,55.16,3,5,100.0
Smart_Meter,Urban,Clear,9.092,26.32,915,207,38.88,-37.49,20.0,Success,3.778,250.0,7,4/5,49.18,79.59,-81.01,144.2,0.721,22.99,5,11.86,120.07,7.23,0.0304,11.076,98.3,93.51,3.369,18.6,31.73,50.53,1016.15,13.91,3.67,0.827,280.42,67.09,7,5,99.06
Industrial_Node,Urban,Clear,28.566,12.23,923,130,88.8,-76.53,14.68,Failure,2.574,62.5,11,4/7,34.902,79.03,-84.38,457.48,0.316,13.67,2,2.2,146.71,19.52,0.0954,30.342,65.92,58.24,4.066,17.18,28.22,78.4,1004.78,16.3,0.27,0.099,85.25,53.37,8,4,98.78
Sensor_Node,Urban,Clear,13.364,29.91,470,43,66.37,-40.89,19.33,Success,2.824,62.5,10,4/6,1.805,27.01,-68.34,446.43,0.321,9.05,1,6.55,78.47,10.21,0.0446,14.097,93.7,28.98,3.724,23.61,14.05,54.03,1018.93,18.17,1.4,0.557,412.96,26.15,7,3,100.0
Smart_Meter,Suburban,Clear,13.166,25.46,915,75,95.58,-46.57,20.0,Success,3.014,7.8,12,4/8,41.893,53.44,-95.19,139.26,0.173,7.21,0,0.0,86.4,15.56,0.044,14.135,98.44,35.85,4.116,44.56,33.84,70.78,1015.49,11.5,2.99,0.605,46.99,30.78,4,1,100.0
Smart_Meter,Urban,Rain,20.503,21.6,868,88,68.05,-64.33,17.7,Failure,2.613,31.25,11,4/8,51.794,78.84,-77.96,143.1,0.675,27.89,1,14.69,95.13,29.46,0.0685,20.728,91.6,38.82,3.691,59.3,11.6,73.74,1013.33,9.3,2.5,0.826,130.36,48.11,0,4,99.26
Industrial_Node,Rural,Cloudy,23.143,13.09,915,237,12.97,-74.73,12.87,Failure,3.321,15.6,8,4/5,16.19,60.15,-76.13,477.33,0.555,21.27,0,8.97,134.61,2.31,0.0773,24.797,71.27,27.05,3.014,19.06,24.0,25.12,1003.32,16.66,0.16,0.154,131.3,32.84,1,1,98.21
Environmental_Node,Urban,Cloudy,14.529,20.31,923,37,25.91,-46.32,13.78,Success,2.47,7.8,7,4/5,44.789,24.2,-79.51,261.61,0.54,16.86,1,8.75,95.47,4.72,0.0485,15.357,93.46,57.69,3.156,43.73,17.77,65.02,1020.6,12.13,2.07,0.012,308.94,39.7,0,3,100.0
Sensor_Node,Suburban,Clear,6.813,15.22,915,247,35.36,-39.65,20.0,Success,3.491,31.25,8,4/7,7.155,76.89,-86.92,471.4,0.12,7.25,2,0.0,102.85,23.23,0.0228,7.879,91.58,94.13,3.361,35.98,40.7,27.94,997.01,8.72,0.09,0.258,370.74,66.08,1,2,100.0
Industrial_Node,Suburban,Clear,23.313,15.05,923,212,88.05,-71.2,14.99,Success,3.262,62.5,7,4/6,38.948,79.83,-62.28,194.04,0.266,14.3,2,3.85,149.59,14.18,0.0779,24.484,70.53,66.9,4.049,33.54,41.72,54.04,993.45,12.8,1.39,0.954,68.42,34.69,4,5,100.0
Industrial_Node,Rural,Clear,9.95,26.59,923,157,84.78,-35.0,19.15,Success,3.681,15.6,7,4/6,3.9,87.7,-75.49,322.3,0.413,13.15,2,4.75,90.62,9.7,0.0332,11.574,94.87,18.99,4.004,54.05,27.82,94.67,1018.44,1.11,4.14,0.093,90.0,48.69,5,6,100.0
Sensor_Node,Rural,Clear,5.666,17.61,915,164,81.13,-39.96,17.05,Success,3.306,62.5,12,4/8,33.073,80.35,-90.33,400.77,0.628,27.53,1,15.08,99.55,26.93,0.0189,7.663,99.49,46.85,3.928,38.88,39.74,49.62,1014.79,14.83,2.46,0.855,471.45,77.83,6,5,87.02
Industrial_Node,Urban,Windy,19.133,19.01,470,77,59.82,-59.0,15.45,Failure,2.414,62.5,7,4/8,52.679,62.05,-87.71,134.84,0.57,23.01,0,16.64,101.5,1.96,0.0639,19.775,76.9,29.21,3.534,52.18,28.41,76.99,994.38,12.01,0.74,0.855,296.64,54.75,4,5,87.33
Sensor_Node,Suburban,Clear,3.168,26.86,470,182,22.51,-35.0,20.0,Failure,3.443,125.0,9,4/7,23.041,46.87,-98.38,347.05,0.512,19.25,2,6.24,102.92,27.45,0.0106,3.599,95.21,81.05,3.159,39.04,41.32,83.11,1012.02,0.38,8.86,0.928,44.79,25.73,3,2,100.0
Sensor_Node,Suburban,Heavy_Rain,29.155,11.76,868,151,21.81,-84.78,11.16,Failure,3.099,31.25,12,4/7,11.62,94.82,-83.44,16.55,0.699,18.32,1,13.19,132.36,20.38,0.0974,29.496,68.34,68.15,3.155,63.05,38.29,71.11,1013.69,15.79,0.07,0.606,84.23,54.95,9,5,91.52
Tracking_Device,Suburban,Cloudy,19.156,21.89,915,191,21.35,-60.51,15.82,Failure,3.37,250.0,7,4/5,40.867,93.35,-63.4,36.71,0.938,29.62,2,15.43,117.15,13.2,0.064,20.498,91.72,21.25,3.112,19.01,12.13,67.12,1023.59,5.08,0.06,0.824,48.17,40.24,4,6,94.39
Tracking_Device,Rural,Clear,29.584,21.56,915,238,86.92,-81.98,11.49,Failure,3.962,125.0,9,4/8,50.808,48.1,-94.75,130.1,0.918,25.58,1,11.11,144.98,5.12,0.0988,30.363,69.9,73.53,3.97,34.4,30.91,58.6,990.49,2.63,0.56,0.705,203.92,43.32,8,3,94.09
Environmental_Node,Urban,Windy,10.497,18.5,433,143,22.74,-45.79,12.03,Failure,3.091,250.0,8,4/8,18.501,73.23,-79.21,206.93,0.56,19.84,0,9.92,90.04,10.21,0.0351,11.185,84.91,55.89,3.086,23.83,32.48,85.63,1025.86,6.28,0.84,0.776,419.09,49.27,1,4,93.42
Smart_Meter,Suburban,Rain,29.151,26.6,470,94,82.77,-72.13,16.61,Success,2.97,31.25,7,4/6,34.573,35.25,-85.14,187.81,0.63,20.06,2,6.49,111.09,23.27,0.0974,30.577,81.83,56.37,3.96,26.19,30.58,81.34,1023.14,14.14,1.0,0.106,359.62,45.63,5,5,98.66
Sensor_Node,Urban,Clear,4.794,28.86,923,214,86.03,-35.0,17.85,Failure,3.954,15.6,11,4/8,39.766,22.42,-79.12,240.37,0.3,3.31,1,3.02,101.01,10.08,0.016,6.759,91.19,10.63,4.072,37.83,15.71,33.03,1019.65,0.14,4.86,0.817,485.85,54.46,8,5,99.49
Industrial_Node,Industrial,Windy,1.7,19.31,433,47,19.45,-35.0,19.51,Success,2.044,7.8,9,4/8,23.726,86.83,-78.66,397.34,0.328,19.03,1,7.23,56.0,22.04,0.0057,3.43,91.18,82.59,3.079,44.82,40.3,36.76,1019.44,17.45,0.87,0.159,373.22,68.3,4,5,99.41
Smart_Meter,Urban,Clear,1.473,19.12,915,158,91.18,-35.0,17.36,Success,3.264,62.5,9,4/6,4.513,8.76,-80.4,384.88,0.301,11.46,2,0.0,72.8,2.82,0.0049,2.123,100.0,32.18,4.092,62.3,40.97,86.8,1017.21,10.28,2.53,0.856,359.3,32.4,8,3,100.0
Sensor_Node,Suburban,Clear,14.214,20.04,433,22,90.78,-49.31,20.0,Success,1.769,250.0,9,4/5,49.893,71.82,-94.87,274.63,0.404,21.69,1,7.68,67.19,10.57,0.0475,16.149,95.77,89.09,4.134,28.07,22.74,98.87,1018.48,8.35,6.86,0.736,380.0,69.76,8,4,96.28
Industrial_Node,Urban,Heavy_Rain,2.949,24.46,470,119,67.44,-35.0,20.0,Success,3.112,125.0,7,4/6,50.348,80.89,-89.54,70.85,0.098,6.36,1,3.01,82.19,15.54,0.0098,4.619,96.56,75.74,3.746,65.84,12.79,28.12,1027.65,19.67,1.32,0.963,77.84,58.96,7,2,100.0
Sensor_Node,Urban,Heavy_Rain,15.609,23.36,915,22,56.17,-52.21,16.83,Success,2.244,62.5,7,4/7,6.577,70.03,-85.67,323.79,0.436,18.1,2,2.65,82.8,23.06,0.0521,16.514,83.64,14.07,3.53,21.86,24.99,84.43,998.63,14.12,0.47,0.339,349.66,66.63,2,7,96.08
Tracking_Device,Industrial,Clear,10.161,14.46,470,44,68.26,-44.32,15.51,Success,2.019,31.25,12,4/5,35.491,84.41,-80.96,442.44,0.129,14.87,1,8.4,75.44,10.49,0.0339,10.481,96.55,57.16,3.716,16.88,44.76,23.97,995.32,3.29,1.24,0.639,346.9,79.02,3,3,94.09
Smart_Meter,Rural,Clear,10.401,11.28,433,95,46.43,-52.17,18.97,Success,2.141,62.5,12,4/8,44.061,29.72,-69.8,235.9,0.831,20.72,3,7.15,90.16,7.83,0.0347,10.912,95.95,47.41,3.485,16.01,21.96,41.37,993.88,18.29,4.49,0.821,15.36,25.12,4,3,100.0
Industrial_Node,Rural,Windy,19.25,28.99,868,31,62.98,-61.38,15.17,Success,2.787,250.0,9,4/6,6.023,75.69,-62.5,86.91,0.542,17.88,0,4.67,98.21,9.28,0.0643,20.798,79.11,79.82,3.646,63.34,30.63,45.7,1006.46,14.54,2.69,0.005,341.31,56.11,7,4,100.0
Smart_Meter,Urban,Clear,5.311,15.22,923,196,97.26,-37.93,20.0,Success,3.203,250.0,10,4/5,50.858,69.28,-83.06,138.01,0.749,17.64,1,10.21,90.38,19.65,0.0177,7.243,95.98,70.68,4.088,64.86,20.4,21.94,1000.27,8.24,1.91,0.966,65.75,47.13,9,6,100.0
Industrial_Node,Urban,Clear,23.113,22.77,923,203,20.2,-69.95,17.09,Success,3.652,7.8,8,4/7,21.581,93.7,-85.92,314.04,0.218,9.33,0,0.0,113.98,6.15,0.0772,23.626,80.77,67.75,3.085,19.97,32.75,37.14,1019.49,9.7,0.99,0.155,475.81,83.5,8,6,95.28
Industrial_Node,Rural,Cloudy,17.67,26.57,868,72,31.04,-55.47,12.24,Failure,2.561,15.6,8,4/6,35.512,87.14,-80.65,325.62,0.349,4.63,0,0.85,87.63,25.04,0.059,19.508,75.08,77.99,3.27,39.76,37.35,66.88,1021.82,18.01,2.15,0.662,345.02,68.68,4,2,97.28
Sensor_Node,Suburban,Foggy,27.491,16.01,868,115,57.17,-78.08,14.68,Failure,2.654,125.0,11,4/8,22.903,10.72,-79.49,61.48,0.077,0.05,0,2.68,105.04,21.18,0.0918,27.946,76.38,58.21,3.614,30.1,29.79,77.53,986.37,3.32,0.15,0.354,186.3,31.62,7,4,100.0
Tracking_Device,Suburban,Clear,11.263,22.71,868,29,33.27,-43.29,15.89,Failure,2.36,62.5,11,4/8,31.936,16.8,-65.31,354.58,0.868,23.5,0,15.43,64.88,15.29,0.0376,13.098,90.38,28.92,3.306,24.17,39.47,53.69,1022.23,15.68,3.75,0.674,112.83,26.08,5,2,100.0
Environmental_Node,Industrial,Heavy_Rain,29.49,12.16,470,131,99.35,-90.76,12.08,Failure,2.519,7.8,11,4/8,39.652,94.9,-95.0,484.49,0.636,18.23,1,9.82,129.75,19.95,0.0985,31.02,60.34,79.69,4.197,27.91,43.52,38.18,1025.55,4.68,4.51,0.432,187.37,70.05,0,4,94.16
Tracking_Device,Suburban,Rain,17.487,29.4,915,166,74.82,-51.78,18.99,Success,3.81,7.8,9,4/7,42.638,60.27,-75.63,126.34,0.402,18.25,1,4.4,132.32,15.38,0.0584,17.899,92.28,30.36,3.891,58.25,11.78,65.5,1002.22,12.98,1.98,0.303,136.5,53.97,7,6,100.0
Tracking_Device,Industrial,Cloudy,29.215,11.16,868,66,49.06,-90.39,2.89,Failure,1.868,15.6,7,4/5,24.443,13.47,-71.62,7.29,0.979,24.2,1,15.99,140.67,15.22,0.0976,29.919,61.39,70.27,3.494,52.72,27.83,38.58,1008.63,17.71,0.25,0.356,230.3,28.73,1,4,82.6
Industrial_Node,Industrial,Heavy_Rain,1.298,18.76,470,201,91.25,-35.0,20.0,Success,3.066,31.25,12,4/7,7.124,34.56,-90.24,244.08,0.196,7.45,1,3.01,98.29,4.34,0.0043,2.804,99.22,59.32,4.079,65.86,36.93,73.91,1004.32,1.35,5.88,0.855,59.31,21.62,7,7,100.0
Tracking_Device,Industrial,Foggy,21.975,20.74,433,26,23.0,-58.35,13.52,Failure,2.082,31.25,12,4/8,20.922,39.42,-70.29,487.86,0.329,15.72,2,4.15,99.75,13.26,0.0734,23.671,81.38,17.41,3.146,20.62,16.32,45.51,1017.16,10.43,0.18,0.341,459.63,36.03,2,7,100.0
Sensor_Node,Industrial,Clear,24.59,25.81,433,107,35.91,-62.34,18.82,Failure,2.949,250.0,8,4/7,50.164,11.49,-91.05,23.38,0.518,15.24,1,12.41,108.48,3.53,0.0821,25.837,89.57,23.16,3.336,64.05,19.77,30.24,995.32,18.6,8.16,0.763,41.18,19.91,8,7,100.0
Sensor_Node,Rural,Clear,2.069,12.42,868,186,96.03,-43.13,20.0,Success,3.021,31.25,8,4/6,35.596,60.88,-95.36,267.03,0.676,20.29,1,6.08,79.23,1.27,0.0069,3.668,95.16,40.6,4.116,15.36,41.14,32.95,1013.49,6.96,1.49,0.836,128.86,32.55,4,3,100.0
Sensor_Node,Industrial,Foggy,17.58,18.82,433,51,60.13,-60.17,12.51,Failure,2.048,15.6,8,4/6,27.135,90.25,-84.08,166.72,0.553,19.61,3,8.28,109.46,17.5,0.0587,19.05,78.27,48.89,3.634,55.78,23.37,22.9,995.3,18.69,6.93,0.184,222.08,75.5,2,4,86.13
Smart_Meter,Urban,Rain,24.157,15.99,868,42,92.86,-69.78,12.52,Failure,2.211,7.8,12,4/5,40.37,68.23,-75.11,236.33,0.833,22.22,2,12.91,113.14,8.37,0.0807,25.412,67.92,75.58,4.082,51.71,22.29,89.36,1008.12,4.73,7.01,0.962,204.34,48.88,3,4,99.78
Smart_Meter,Urban,Cloudy,17.051,16.24,433,69,98.58,-57.87,20.0,Success,2.324,7.8,11,4/7,49.143,82.27,-99.15,440.5,0.226,13.4,0,5.53,85.46,4.98,0.057,18.654,83.78,47.18,4.211,33.04,26.64,63.21,999.98,9.25,3.46,0.709,260.52,66.15,9,2,92.9
Smart_Meter,Urban,Rain,2.383,25.58,433,166,42.42,-35.0,20.0,Success,3.661,15.6,7,4/8,52.96,88.17,-97.63,227.99,0.934,22.52,0,13.13,91.72,15.61,0.008,2.845,98.84,55.81,3.383,20.0,11.41,27.13,988.44,10.51,1.22,0.208,125.12,56.29,2,1,97.02
Environmental_Node,Industrial,Heavy_Rain,20.957,10.11,915,137,61.88,-79.78,9.52,Failure,2.423,15.6,11,4/6,43.443,93.32,-72.34,365.83,0.603,19.72,1,11.4,98.55,9.82,0.07,22.003,62.99,47.0,3.665,30.61,28.82,80.44,988.19,10.23,4.18,0.939,37.72,55.13,1,2,93.68
Smart_Meter,Urban,Heavy_Rain,2.288,24.98,915,214,86.2,-35.0,20.0,Success,3.921,125.0,8,4/8,5.858,78.02,-83.38,394.61,0.403,12.35,0,2.06,85.89,27.78,0.0076,2.867,96.09,87.84,3.956,40.49,10.48,62.13,1011.3,17.78,0.76,0.467,429.3,78.82,7,6,100.0
Smart_Meter,Urban,Foggy,24.615,26.21,433,44,34.55,-65.34,15.71,Failure,2.676,125.0,12,4/8,13.804,51.47,-78.61,332.92,0.614,16.95,2,3.23,127.52,23.26,0.0822,25.308,79.63,55.16,3.274,68.3,26.04,40.97,981.7,8.97,1.59,0.679,66.16,44.28,1,3,100.0
Industrial_Node,Rural,Cloudy,1.77,28.03,915,172,50.21,-35.0,20.0,Success,3.58,62.5,8,4/7,57.934,11.32,-76.73,73.23,0.155,2.48,4,4.82,101.75,23.0,0.0059,2.062,96.81,62.14,3.482,26.33,23.86,38.89,1002.51,9.72,2.22,0.927,340.0,43.32,6,2,100.0
Sensor_Node,Rural,Clear,4.553,22.54,868,25,23.8,-41.84,16.97,Failure,2.316,125.0,8,4/8,43.544,9.77,-95.22,478.95,0.506,11.75,1,2.76,67.18,3.71,0.0152,5.873,94.66,60.56,3.121,36.64,42.56,79.63,1004.98,17.66,0.24,0.865,336.35,38.0,8,6,100.0
Environmental_Node,Rural,Rain,8.616,16.67,923,244,68.73,-38.38,17.04,Success,3.461,15.6,12,4/5,53.558,73.66,-87.24,92.62,0.476,12.31,2,6.55,114.98,23.65,0.0288,9.315,85.81,39.5,3.753,62.85,19.45,38.99,1003.75,17.76,4.55,0.345,54.29,47.93,8,7,99.8
Sensor_Node,Industrial,Cloudy,19.184,18.54,868,116,10.38,-56.97,20.0,Success,3.014,15.6,11,4/7,32.068,27.79,-82.36,301.54,0.07,6.8,0,0.0,89.73,11.02,0.0641,19.845,87.48,44.61,2.943,52.18,34.3,83.8,1014.62,10.11,1.79,0.776,261.08,41.95,0,5,100.0
Tracking_Device,Suburban,Rain,29.303,29.39,915,162,50.44,-74.86,11.13,Failure,3.635,15.6,9,4/7,6.467,41.68,-90.04,68.88,0.64,13.79,1,3.69,130.78,29.79,0.0979,31.178,73.79,19.77,3.522,32.77,24.26,95.06,997.67,8.55,1.97,0.748,296.77,45.49,4,1,94.17
Environmental_Node,Suburban,Cloudy,3.976,27.62,470,210,93.62,-35.0,19.78,Success,4.032,7.8,9,4/6,8.956,77.33,-85.56,11.71,0.474,21.14,0,10.73,59.93,15.19,0.0133,4.738,100.0,23.05,4.075,30.4,24.2,50.83,1008.38,7.42,1.09,0.073,173.65,68.05,9,3,100.0
Sensor_Node,Suburban,Clear,4.71,19.27,433,167,90.76,-35.0,20.0,Success,3.086,15.6,9,4/8,57.497,60.48,-73.63,20.84,0.887,21.24,1,13.88,93.55,0.58,0.0157,6.535,100.0,65.9,4.1,50.27,41.14,21.79,1016.26,17.95,1.27,0.592,177.95,40.83,1,3,91.23
Sensor_Node,Rural,Cloudy,11.382,28.86,915,190,82.34,-38.54,20.0,Success,3.705,7.8,7,4/8,20.838,76.93,-100.52,193.97,0.889,19.32,2,9.25,101.23,28.12,0.038,11.506,92.55,75.77,3.919,63.55,41.6,92.57,990.96,17.68,2.27,0.27,418.05,76.87,2,7,100.0
Environmental_Node,Urban,Rain,25.168,26.46,915,115,22.7,-65.32,14.15,Failure,3.409,250.0,7,4/5,23.555,54.66,-80.54,217.94,0.268,21.02,0,4.5,114.54,14.95,0.0841,25.731,70.99,50.84,3.102,43.73,28.48,47.77,1013.19,6.9,3.72,0.775,303.94,49.0,2,4,97.78
Environmental_Node,Suburban,Windy,14.283,28.02,915,235,56.82,-50.17,15.4,Success,4.269,7.8,8,4/7,58.468,23.36,-91.42,290.03,0.699,22.89,1,10.65,110.77,17.16,0.0477,15.254,86.32,74.11,3.566,24.95,30.5,50.62,1015.69,4.02,2.68,0.871,245.2,24.61,3,4,100.0
Environmental_Node,Urban,Cloudy,9.988,23.66,868,214,74.72,-41.43,14.74,Success,3.398,7.8,8,4/6,28.847,75.35,-84.54,173.16,0.982,28.5,1,14.38,100.95,2.26,0.0334,11.924,88.72,55.44,3.839,38.21,16.31,92.0,997.89,10.85,0.79,0.158,157.58,55.32,8,2,93.69
Environmental_Node,Urban,Clear,17.056,27.15,433,23,19.11,-56.75,20.0,Success,2.202,125.0,12,4/5,1.322,68.45,-84.29,206.56,0.222,18.25,0,8.8,82.22,14.64,0.057,17.207,81.57,26.09,3.095,44.79,30.38,65.19,1024.51,14.07,0.28,0.776,248.09,53.05,5,6,100.0
Sensor_Node,Industrial,Cloudy,8.185,27.84,923,25,23.23,-35.0,20.0,Success,2.508,31.25,10,4/6,32.993,50.48,-81.02,450.89,0.226,8.39,0,0.0,66.91,11.48,0.0273,9.039,96.94,45.66,3.117,57.19,37.91,72.76,1007.56,11.68,5.31,0.9,184.21,42.91,7,5,100.0
Smart_Meter,Urban,Windy,12.334,11.84,915,78,13.61,-47.4,20.0,Failure,2.185,15.6,9,4/8,43.955,55.11,-82.66,173.18,0.059,10.55,2,1.34,100.28,27.13,0.0412,13.0,99.9,80.08,2.955,19.21,41.82,90.48,1015.23,4.95,4.96,0.121,146.41,70.46,1,7,96.66
Sensor_Node,Suburban,Cloudy,10.312,29.3,470,71,39.08,-35.0,15.79,Failure,2.977,7.8,12,4/7,32.723,10.05,-79.29,158.16,0.679,17.94,0,6.04,92.66,26.26,0.0344,12.079,88.26,22.23,3.37,16.09,31.29,49.13,1004.13,0.54,0.92,0.911,208.29,15.83,6,6,97.64
