Distance,RSSI,SNR,Battery_Level,Packet_Loss_Rate,Node,Health
27.22,-69.34,9.28,78.98,5.94,THANU,NORMAL
19.482,-58.84,17.5,46.14,3.51,THANU,WARNING
29.459,-74.42,10.56,60.54,6.19,THANU,WARNING
5.101,-35.0,15.78,41.26,2.98,THANU,NORMAL
9.254,-36.96,20.0,72.72,4.96,THANU,NORMAL
11.19,-50.1,20.0,32.16,8.17,THANU,WARNING
10.133,-35.0,17.85,23.79,6.6,THANU,WARNING
7.934,-35.0,20.0,90.87,13.94,THANU,WARNING
13.582,-51.76,16.56,87.79,13.56,THANU,WARNING
19.448,-71.43,17.69,85.15,6.59,THANU,WARNING
9.682,-35.0,20.0,83.94,7.85,THANU,NORMAL
2.851,-35.0,16.12,75.66,2.77,THANU,WARNING
21.402,-69.68,19.06,88.73,0.0,THANU,WARNING
14.041,-48.47,18.86,28.92,13.81,THANU,WARNING
16.916,-65.98,12.98,88.34,12.28,THANU,NORMAL
13.934,-35.93,20.0,92.6,0.0,THANU,WARNING
26.766,-71.58,14.53,74.44,7.67,THANU,NORMAL
16.983,-46.19,19.26,63.94,4.92,THANU,NORMAL
27.737,-75.17,7.04,31.25,0.0,THANU,WARNING
15.562,-58.79,12.06,87.95,6.9,THANU,NORMAL
9.131,-48.84,19.2,61.91,2.16,THANU,NORMAL
10.986,-35.0,19.42,64.96,15.14,THANU,WARNING
15.903,-52.12,20.0,64.59,8.69,THANU,NORMAL
16.135,-54.88,12.48,88.01,4.16,THANU,FAILURE
20.776,-75.05,11.46,22.33,16.44,THANU,NORMAL
7.123,-39.15,20.0,15.55,0.0,THANU,WARNING
19.936,-60.14,16.2,30.16,10.08,THANU,NORMAL
23.468,-74.27,15.76,54.26,2.26,THANU,NORMAL
20.459,-56.33,20.0,52.25,7.51,THANU,NORMAL
14.714,-43.37,19.01,56.08,10.7,THANU,NORMAL
29.755,-85.01,9.71,20.29,0.0,THANU,NORMAL
12.442,-48.62,16.45,81.36,0.0,THANU,NORMAL
3.644,-35.0,20.0,37.19,6.27,THANU,NORMAL
24.734,-57.2,18.95,92.19,15.7,THANU,WARNING
6.76,-37.02,17.64,85.6,1.42,THANU,WARNING
21.542,-69.51,13.82,15.71,7.7,THANU,FAILURE
5.78,-41.13,19.86,14.82,0.0,THANU,NORMAL
0.998,-35.0,20.0,66.61,3.29,THANU,WARNING
5.214,-35.0,20.0,16.95,11.74,THANU,NORMAL
11.621,-37.82,19.49,61.47,2.51,THANU,FAILURE
3.645,-35.0,20.0,17.12,8.69,THANU,FAILURE
6.332,-35.0,18.28,53.14,19.85,THANU,WARNING
23.056,-67.47,13.61,47.72,3.45,THANU,NORMAL
23.212,-62.92,14.23,63.18,12.7,THANU,NORMAL
24.616,-80.66,11.28,42.06,7.87,THANU,NORMAL
25.314,-64.82,18.07,22.6,0.0,THANU,FAILURE
12.903,-51.02,20.0,85.79,10.38,THANU,WARNING
26.093,-69.85,17.44,36.94,8.34,THANU,NORMAL
16.015,-58.54,13.15,16.07,15.95,THANU,NORMAL
14.383,-53.22,14.91,55.05,7.4,THANU,WARNING
21.697,-67.09,11.28,88.99,10.23,THANU,WARNING
6.808,-43.34,20.0,35.26,9.68,THANU,NORMAL
23.79,-71.83,16.0,50.57,3.76,THANU,WARNING
13.169,-53.0,16.28,46.23,13.13,THANU,WARNING
4.255,-35.0,20.0,14.35,7.27,THANU,NORMAL
4.02,-35.0,19.79,88.15,4.08,THANU,NORMAL
5.365,-35.0,18.74,78.3,11.45,THANU,WARNING
26.772,-78.33,12.49,18.62,12.8,THANU,WARNING
29.733,-77.91,9.54,21.89,6.5,THANU,NORMAL
11.031,-35.7,14.51,10.95,13.63,THANU,FAILURE
9.118,-35.0,20.0,98.71,16.87,THANU,NORMAL
6.954,-36.96,17.99,47.46,2.05,THANU,WARNING
24.803,-72.57,12.93,93.74,0.0,THANU,FAILURE
6.672,-35.0,17.54,47.81,9.93,THANU,FAILURE
27.761,-78.28,14.98,19.34,2.08,THANU,WARNING
20.187,-59.38,18.24,40.9,7.39,THANU,WARNING
26.965,-88.04,12.56,47.64,12.61,THANU,WARNING
16.843,-64.89,10.91,25.9,2.27,THANU,WARNING
20.875,-57.11,20.0,14.82,0.0,THANU,NORMAL
18.774,-51.89,18.43,38.49,0.0,THANU,NORMAL
25.02,-72.18,14.83,58.54,14.67,THANU,WARNING
25.158,-67.88,10.02,32.98,1.52,THANU,WARNING
17.899,-52.75,17.79,96.28,12.53,THANU,WARNING
19.159,-67.72,14.41,53.33,1.56,THANU,NORMAL
27.695,-77.17,8.22,21.72,11.89,THANU,WARNING
27.931,-82.72,9.47,47.21,0.0,THANU,NORMAL
20.095,-67.52,19.17,73.69,7.98,THANU,NORMAL
0.729,-35.0,18.87,53.84,15.72,THANU,WARNING
3.58,-35.0,20.0,39.81,14.79,THANU,FAILURE
25.809,-70.64,12.11,19.57,9.76,THANU,WARNING
2.999,-35.0,20.0,51.36,2.43,THANU,WARNING
6.799,-35.0,20.0,18.76,2.89,THANU,NORMAL
7.301,-38.79,20.0,43.38,6.07,THANU,NORMAL
18.207,-58.49,16.5,20.46,8.38,THANU,WARNING
17.511,-57.25,19.95,70.85,7.57,THANU,WARNING
9.038,-37.23,18.03,79.53,0.61,THANU,NORMAL
6.625,-35.0,20.0,31.91,12.06,THANU,WARNING
23.054,-66.41,13.84,16.72,0.0,THANU,WARNING
28.096,-73.87,16.78,41.23,17.35,THANU,FAILURE
2.058,-35.0,14.96,60.45,12.96,THANU,WARNING
4.429,-35.0,16.52,79.11,11.75,THANU,WARNING
19.444,-56.73,12.08,46.26,0.0,THANU,NORMAL
24.231,-70.96,13.44,42.94,7.62,THANU,WARNING
23.84,-71.55,12.78,91.75,8.81,THANU,NORMAL
21.731,-69.43,8.9,50.47,6.88,THANU,NORMAL
26.679,-59.62,18.33,50.25,14.41,THANU,WARNING
6.912,-35.0,20.0,46.9,0.0,THANU,FAILURE
3.665,-35.0,20.0,42.69,0.74,THANU,WARNING
18.653,-63.77,11.22,75.56,5.22,THANU,NORMAL
24.757,-83.01,19.3,35.36,3.15,THANU,NORMAL
17.67,-73.13,15.86,44.09,7.37,THANU,FAILURE
28.908,-84.93,14.43,35.41,10.41,THANU,WARNING
23.969,-74.13,10.27,61.33,10.77,THANU,FAILURE
21.173,-68.37,11.5,96.44,17.79,THANU,NORMAL
2.278,-35.0,17.38,45.13,12.32,THANU,FAILURE
3.678,-42.19,18.26,97.14,4.92,THANU,WARNING
23.653,-52.78,16.26,69.1,0.0,THANU,FAILURE
6.348,-36.89,19.84,81.59,7.14,THANU,NORMAL
1.351,-35.0,20.0,39.97,2.83,THANU,NORMAL
27.367,-82.82,13.85,30.2,8.95,THANU,WARNING
26.779,-67.32,16.92,61.91,14.04,THANU,FAILURE
6.945,-38.02,20.0,99.17,11.85,THANU,FAILURE
23.516,-73.84,14.04,73.92,7.58,THANU,FAILURE
1.915,-35.0,20.0,71.35,0.0,THANU,WARNING
8.909,-35.0,20.0,50.51,8.31,THANU,WARNING
18.898,-58.34,17.71,89.15,12.39,THANU,WARNING
23.014,-63.18,12.61,72.73,12.91,THANU,NORMAL
0.807,-35.0,18.63,70.74,0.0,THANU,NORMAL
10.123,-44.3,20.0,36.33,9.27,THANU,NORMAL
6.823,-38.47,20.0,96.2,6.85,THANU,WARNING
29.964,-91.8,14.1,32.53,12.62,THANU,FAILURE
20.294,-55.89,13.78,57.13,8.66,THANU,WARNING
12.467,-50.97,13.99,40.56,0.0,THANU,NORMAL
2.732,-35.0,20.0,26.27,17.12,THANU,FAILURE
18.161,-61.07,14.21,22.97,11.84,THANU,FAILURE
19.43,-60.28,15.83,36.36,9.31,THANU,FAILURE
24.584,-62.51,16.7,72.01,1.54,THANU,WARNING
9.013,-43.5,20.0,97.73,0.0,THANU,WARNING
29.452,-96.6,7.15,86.79,8.02,THANU,WARNING
13.464,-54.31,15.67,29.62,19.56,THANU,NORMAL
